County, Cases, LISA, ClusterType, PValue, Significance
Siskiyou , 1.0 , 0.012795762266614195 , 3 , 0.4903 , False
Del Norte , 0.0 , -0.3379792525740956 , 2 , 0.1316 , True
Modoc , 0.0 , 0.20654287657305834 , 3 , 0.4009 , False
Trinity , 1.0 , -0.05036629828348145 , 2 , 0.1877 , False
Shasta , 1.0 , 0.08122132786255114 , 3 , 0.0512 , False
Lassen , 0.0 , 0.25604488831370875 , 3 , 0.1446 , False
Humboldt , 4.0 , 0.0793415046318936 , 1 , 0.3684 , False
Tehama , 0.0 , 0.10753885309175765 , 3 , 0.3375 , False
Plumas , 0.0 , 0.20654287657305834 , 3 , 0.235 , False
Butte , 0.0 , 0.3055469000543591 , 3 , 0.0882 , True
Glenn , 0.0 , 0.1669412671805381 , 3 , 0.2378 , False
Sierra , 1.0 , 0.008848133482233215 , 3 , 0.4467 , False
Yuba , 2.0 , -0.05036629828348143 , 4 , 0.4393 , False
Lake , 0.0 , -0.4864852877960466 , 2 , 0.0431 , False
Nevada , 3.0 , 0.10879206857886278 , 1 , 0.3349 , False
Colusa , 0.0 , 0.34514850944687936 , 3 , 0.0715 , False
Mendocino , 4.0 , 0.8463093827401978 , 1 , 0.0683 , True
Sutter , 0.0 , 0.10753885309175765 , 3 , 0.3266 , False
Placer , 2.0 , 0.033097853157716406 , 1 , 0.3101 , False
El Dorado , 2.0 , -0.08514302805064719 , 4 , 0.3512 , False
Yolo , 1.0 , 0.08122132786255115 , 3 , 0.0415 , False
Alpine , 0.0 , 0.2857460953580989 , 3 , 0.1264 , False
Sonoma , 12.0 , 1.4798098114718121 , 1 , 0.1219 , False
Napa , 1.0 , -0.14905701789300585 , 2 , 0.0662 , False
Sacramento , 1.0 , 0.008848133482233215 , 3 , 0.4878 , False
Mono , 0.0 , 0.1669412671805381 , 3 , 0.2394 , False
Amador , 0.0 , 0.1669412671805381 , 3 , 0.235 , False
Solano , 0.0 , -0.6844933347586479 , 2 , 0.0137 , True
Calaveras , 0.0 , 0.34514850944687936 , 3 , 0.07 , False
Tuolumne , 0.0 , 0.3621206277579595 , 3 , 0.0039 , True
San Joaquin , 1.0 , -0.0390873588995358 , 2 , 0.2202 , False
Marin , 3.0 , 1.1207635744162088 , 1 , 0.0166 , True
Contra Costa , 4.0 , 1.1065306270983724 , 1 , 0.0227 , True
Stanislaus , 0.0 , -0.01975203424134331 , 2 , 0.3768 , False
Alameda , 4.0 , 0.36695445892250766 , 1 , 0.1938 , False
Mariposa , 1.0 , 0.10753885309175766 , 3 , 0.0508 , False
Madera , 0.0 , 0.10753885309175766 , 3 , 0.3605 , False
San Francisco , 2.0 , 0.22784753985384468 , 1 , 0.091 , True
San Mateo , 1.0 , -0.18853330573681565 , 2 , 0.0309 , False
Merced , 0.0 , 0.022678261536356964 , 3 , 0.4397 , False
Fresno , 4.0 , -0.6396908810946417 , 4 , 0.0115 , True
Santa Clara , 4.0 , 0.12042906953055281 , 1 , 0.3177 , False
Inyo , 0.0 , 0.10753885309175765 , 3 , 0.3668 , False
Santa Cruz , 5.0 , 0.1094186763224154 , 1 , 0.3318 , False
San Benito , 0.0 , -0.42708287370726616 , 2 , 0.0953 , False
Tulare , 1.0 , 0.0285862774041381 , 3 , 0.4375 , False
Kings , 0.0 , -0.011265975085803213 , 2 , 0.4239 , False
Monterey , 1.0 , -0.050366298283481464 , 2 , 0.185 , False
San Bernardino , 0.0 , 0.2857460953580989 , 3 , 0.1347 , False
Kern , 0.0 , 0.18179187070273317 , 3 , 0.1776 , False
San Luis Obispo , 1.0 , 0.08780070916985276 , 3 , 0.1569 , False
Ventura , 2.0 , -0.09673527130636911 , 4 , 0.2786 , False
Santa Barbara , 0.0 , 0.10753885309175765 , 3 , 0.4106 , False
Riverside , 0.0 , -0.11522019974116897 , 2 , 0.276 , False
Orange , 0.0 , -0.26372623496312003 , 2 , 0.1685 , True
Imperial , 0.0 , -0.6349913230179978 , 2 , 0.0694 , True
Los Angeles , 2.0 , -0.11991975781781296 , 4 , 0.2655 , False
San Diego , 7.0 , -1.674533569571655 , 4 , 0.1172 , False
